"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Feb 27 22:30:37 CST 2021","Sat Feb 27 22:30:37 CST 2021","0","","test_allure1","TestLogin","","","test_fail",""
"passed","Sat Feb 27 22:30:37 CST 2021","Sat Feb 27 22:30:37 CST 2021","1","","test_allure1","TestLogin","","","test_login_success",""
